Date,Event,Country,Unique Users
2016-07,All Events - Unique,Afghanistan,49
2016-07,All Events - Unique,Congo,35
2016-07,All Events - Unique,Ethiopia,62
2016-07,All Events - Unique,Myanmar,37
2016-07,All Events - Unique,South Sudan,20
2016-07,All Events - Unique,Sudan,0
2016-07,All Events - Unique,Syria,0
2016-07,All Events - Unique,Ukraine,42
2016-07,All Events - Unique,Venezuela,11
2016-07,All Events - Unique,Yemen,28
2016-08,All Events - Unique,Afghanistan,72
2016-08,All Events - Unique,Congo,26
2016-08,All Events - Unique,Ethiopia,112
2016-08,All Events - Unique,Myanmar,67
2016-08,All Events - Unique,South Sudan,18
2016-08,All Events - Unique,Sudan,0
2016-08,All Events - Unique,Syria,0
2016-08,All Events - Unique,Ukraine,51
2016-08,All Events - Unique,Venezuela,20
2016-08,All Events - Unique,Yemen,29
2016-09,All Events - Unique,Afghanistan,45
2016-09,All Events - Unique,Congo,21
2016-09,All Events - Unique,Ethiopia,68
2016-09,All Events - Unique,Myanmar,35
2016-09,All Events - Unique,South Sudan,23
2016-09,All Events - Unique,Sudan,0
2016-09,All Events - Unique,Syria,0
2016-09,All Events - Unique,Ukraine,49
2016-09,All Events - Unique,Venezuela,20
2016-09,All Events - Unique,Yemen,27
2016-10,All Events - Unique,Afghanistan,82
2016-10,All Events - Unique,Congo,24
2016-10,All Events - Unique,Ethiopia,73
2016-10,All Events - Unique,Myanmar,86
2016-10,All Events - Unique,South Sudan,43
2016-10,All Events - Unique,Sudan,0
2016-10,All Events - Unique,Syria,0
2016-10,All Events - Unique,Ukraine,57
2016-10,All Events - Unique,Venezuela,19
2016-10,All Events - Unique,Yemen,46
2016-11,All Events - Unique,Afghanistan,78
2016-11,All Events - Unique,Congo,23
2016-11,All Events - Unique,Ethiopia,84
2016-11,All Events - Unique,Myanmar,83
2016-11,All Events - Unique,South Sudan,38
2016-11,All Events - Unique,Sudan,0
2016-11,All Events - Unique,Syria,0
2016-11,All Events - Unique,Ukraine,70
2016-11,All Events - Unique,Venezuela,21
2016-11,All Events - Unique,Yemen,32
2016-12,All Events - Unique,Afghanistan,68
2016-12,All Events - Unique,Congo,33
2016-12,All Events - Unique,Ethiopia,70
2016-12,All Events - Unique,Myanmar,84
2016-12,All Events - Unique,South Sudan,34
2016-12,All Events - Unique,Sudan,1
2016-12,All Events - Unique,Syria,2
2016-12,All Events - Unique,Ukraine,51
2016-12,All Events - Unique,Venezuela,8
2016-12,All Events - Unique,Yemen,54
2017-01,All Events - Unique,Afghanistan,118
2017-01,All Events - Unique,Congo,21
2017-01,All Events - Unique,Ethiopia,86
2017-01,All Events - Unique,Myanmar,109
2017-01,All Events - Unique,South Sudan,49
2017-01,All Events - Unique,Sudan,1
2017-01,All Events - Unique,Syria,1
2017-01,All Events - Unique,Ukraine,46
2017-01,All Events - Unique,Venezuela,18
2017-01,All Events - Unique,Yemen,51
2017-02,All Events - Unique,Afghanistan,98
2017-02,All Events - Unique,Congo,43
2017-02,All Events - Unique,Ethiopia,77
2017-02,All Events - Unique,Myanmar,63
2017-02,All Events - Unique,South Sudan,40
2017-02,All Events - Unique,Sudan,1
2017-02,All Events - Unique,Syria,3
2017-02,All Events - Unique,Ukraine,46
2017-02,All Events - Unique,Venezuela,18
2017-02,All Events - Unique,Yemen,56
2017-03,All Events - Unique,Afghanistan,129
2017-03,All Events - Unique,Congo,52
2017-03,All Events - Unique,Ethiopia,105
2017-03,All Events - Unique,Myanmar,69
2017-03,All Events - Unique,South Sudan,58
2017-03,All Events - Unique,Sudan,62
2017-03,All Events - Unique,Syria,2
2017-03,All Events - Unique,Ukraine,73
2017-03,All Events - Unique,Venezuela,23
2017-03,All Events - Unique,Yemen,80
2017-04,All Events - Unique,Afghanistan,140
2017-04,All Events - Unique,Congo,48
2017-04,All Events - Unique,Ethiopia,109
2017-04,All Events - Unique,Myanmar,67
2017-04,All Events - Unique,South Sudan,56
2017-04,All Events - Unique,Sudan,70
2017-04,All Events - Unique,Syria,2
2017-04,All Events - Unique,Ukraine,75
2017-04,All Events - Unique,Venezuela,11
2017-04,All Events - Unique,Yemen,96
2017-05,All Events - Unique,Afghanistan,102
2017-05,All Events - Unique,Congo,51
2017-05,All Events - Unique,Ethiopia,124
2017-05,All Events - Unique,Myanmar,86
2017-05,All Events - Unique,South Sudan,70
2017-05,All Events - Unique,Sudan,51
2017-05,All Events - Unique,Syria,2
2017-05,All Events - Unique,Ukraine,65
2017-05,All Events - Unique,Venezuela,14
2017-05,All Events - Unique,Yemen,98
2017-06,All Events - Unique,Afghanistan,75
2017-06,All Events - Unique,Congo,52
2017-06,All Events - Unique,Ethiopia,88
2017-06,All Events - Unique,Myanmar,73
2017-06,All Events - Unique,South Sudan,68
2017-06,All Events - Unique,Sudan,40
2017-06,All Events - Unique,Syria,1
2017-06,All Events - Unique,Ukraine,84
2017-06,All Events - Unique,Venezuela,14
2017-06,All Events - Unique,Yemen,94
2017-07,All Events - Unique,Afghanistan,127
2017-07,All Events - Unique,Congo,60
2017-07,All Events - Unique,Ethiopia,103
2017-07,All Events - Unique,Myanmar,87
2017-07,All Events - Unique,South Sudan,51
2017-07,All Events - Unique,Sudan,41
2017-07,All Events - Unique,Syria,4
2017-07,All Events - Unique,Ukraine,71
2017-07,All Events - Unique,Venezuela,8
